Name,ID,Type
Ancient Dragon Knight Kristoff,4003E800,None
Ancient Dragon Knight's Cookbook [1],401EA8EC,None
Ancient Dragon Knight's Cookbook [2],401EA8F0,None
Ancient Dragon Prayerbook,400022A1,None
Ancient Dragon Smithing Stone,4000279C,None
Ancient Dragon's Blessing,401E8CB4,None
Ancient Dragonbolt Pot,40000141,None
Ancient Dragons' Lightning Spear,40001B1C,None
Ancient Dragons' Lightning Strike,40001AFE,None
Ancient Meteoric Ore Greatsword,0044AA20,Somber
Ancient Ruins Cross Message,401EA3DC,None
Ansbach's Attire (Altered),104DFD3C,None
Ansbach's Attire,104DF954,None
Ansbach's Boots,104DFA1C,None
Ansbach's Longbow,2796470,Somber
Ansbach's Manchettes,104DF9B8,None
Ant's Skull Plate,01EBA360,Somber
Antiquity Scholar's Cookbook [1],401EA8FD,None
Antiquity Scholar's Cookbook [2],401EA8F8,None
Antspur Rapier,004CE780,Smithing
Anvil Hammer,00BEE330,Somber
Arbalest,2915940,Smithing
Archer Ashes +1,4003CCA9,None
Archer Ashes +10,4003CCB2,None
Archer Ashes +2,4003CCAA,None
Archer Ashes +3,4003CCAB,None
Archer Ashes +4,4003CCAC,None
Archer Ashes +5,4003CCAD,None
Archer Ashes +6,4003CCAE,None
Archer Ashes +7,4003CCAF,None
Archer Ashes +8,4003CCB0,None
Archer Ashes +9,4003CCB1,None
Archer Ashes,4003CCA8,None
Aristocrat Boots,1005A67C,None
Aristocrat Coat,1005CCC4,None
Aristocrat Garb (Altered),1005A99C,None
Aristocrat Garb,1005A5B4,None
Aristocrat Hat,1005CC60,None
Aristocrat Headband,1005A550,None
Armor of Night,104DAB34,None
Armor of Solitude (Altered),104E4B5C,None
Armor of Solitude,104E4774,None
Arrow's Reach Talisman,20000834,None
Arrow's Soaring Sting Talisman,20001F86,None
Arrow's Sting Talisman,20000866,None
Arrow,02FAF080,None
Arsenal Charm +1,20000407,None
Arsenal Charm,20000406,None
Arteria Leaf,400050D3,None
Ascetic's Ankle Guards,104F80BC,None
Ascetic's Loincloth,104F7FF4,None
Ascetic's Wrist Guards,104F8058,None
Ash of War: Aspects of the Crucible: Wings,80030DA4,None
Ash of War: Assassin's Gambit,8000EB28,None
Ash of War: Barbaric Roar,8000FDE8,None
Ash of War: Barrage,80009CA4,None
Ash of War: Barricade Shield,80007594,None
Ash of War: Beast's Roar,8000FEB0,None
Ash of War: Black Flame Tornado,80005654,None
Ash of War: Blind Spot,80063DA8,None
Ash of War: Blinkbolt,80064D48,None
Ash of War: Blood Blade,80005780,None
Ash of War: Blood Tax,80002A30,None
Ash of War: Bloodhound's Step,800138E4,None
Ash of War: Bloody Slash,80004FB0,None
Ash of War: Braggart's Roar,8000FF78,None
Ash of War: Carian Grandeur,80005528,None
Ash of War: Carian Greatsword,8000558C,None
Ash of War: Carian Retaliation,80007724,None
Ash of War: Carian Sovereignty,800660D0,None
Ash of War: Charge Forth,80002904,None
Ash of War: Chilling Mist,800058AC,None
Ash of War: Cragblade,8000ED1C,None
Ash of War: Determination,8000EA60,None
Ash of War: Divine Beast Frost Stomp,80065900,None
Ash of War: Double Slash,80002BC0,None
Ash of War: Dryleaf Whirlwind,80030D40,None
Ash of War: Earthshaker,800052D0,None
Ash of War: Enchanted Shot,80009DD0,None
Ash of War: Endure,80011170,None
Ash of War: Eruption,800050DC,None
Ash of War: Flame of the Redmanes,8000C544,None
Ash of War: Flame Skewer,80065130,None
Ash of War: Flame Spear,80065CE8,None
Ash of War: Flaming Strike,80005398,None
Ash of War: Ghostflame Call,80067070,None
Ash of War: Giant Hunt,80002D50,None
Ash of War: Glintblade Phalanx,80004E20,None
Ash of War: Glintstone Pebble,80004F4C,None
Ash of War: Golden Land,80005334,None
Ash of War: Golden Parry,800077EC,None
Ash of War: Golden Slam,8000C60C,None
Ash of War: Golden Vow,8000EB8C,None
Ash of War: Gravitas,800051A4,None
Ash of War: Ground Slam,8000C5A8,None
Ash of War: Hoarah Loux's Earthshaker,8000C6D4,None
Ash of War: Hoarfrost Stomp,8000C3B4,None
Ash of War: Holy Ground,80011238,None
Ash of War: Ice Spear,80004EE8,None
Ash of War: Igon's Drake Hunt,80085CA0,None
Ash of War: Impaling Thrust,80002774,None
Ash of War: Kick,8000C47C,None
Ash of War: Lifesteal Fist,80005014,None
Ash of War: Lightning Ram,8000C4E0,None
Ash of War: Lightning Slash,800054C4,None
Ash of War: Lion's Claw,80002710,None
Ash of War: Loretta's Slash,80002E18,None
Ash of War: Mighty Shot,80009D08,None
Ash of War: No Skill,800078B4,None
Ash of War: Overhead Stance,80064578,None
Ash of War: Palm Blast,80061E68,None
Ash of War: Parry,800075F8,None
Ash of War: Phantom Slash,800057E4,None
Ash of War: Piercing Fang,800027D8,None
Ash of War: Piercing Throw,80062250,None
Ash of War: Poison Moth Flight,80002E7C,None
Ash of War: Poisonous Mist,80005910,None
Ash of War: Prayerful Strike,80005140,None
Ash of War: Prelate's Charge,80002C24,None
Ash of War: Quickstep,80013880,None
Ash of War: Raging Beast,800631F0,None
Ash of War: Rain of Arrows,80009E98,None
Ash of War: Raptor of the Mists,80013948,None
Ash of War: Repeating Thrust,80002A94,None
Ash of War: Rolling Sparks,80062E08,None
Ash of War: Royal Knight's Resolve,8000EAC4,None
Ash of War: Sacred Blade,80004E84,None
Ash of War: Sacred Order,8000EBF0,None
Ash of War: Sacred Ring of Light,800056B8,None
Ash of War: Savage Claws,800635D8,None
Ash of War: Savage Lion's Claw,80065518,None
Ash of War: Scattershot Throw,80062638,None
Ash of War: Seppuku,8000ECB8,None
Ash of War: Shared Order,8000EC54,None
Ash of War: Shield Bash,80007530,None
Ash of War: Shield Crash,80007850,None
Ash of War: Shield Strike,800C3500,None
Ash of War: Shriek of Sorrow,800664B8,None
Ash of War: Sky Shot,80009E34,None
Ash of War: Spectral Lance,80005848,None
Ash of War: Spinning Gravity Thrust,80061A80,None
Ash of War: Spinning Slash,8000283C,None
Ash of War: Spinning Strikes,80002B5C,None
Ash of War: Spinning Weapon,80002EE0,None
Ash of War: Square Off,80002CEC,None
Ash of War: Stamp (Sweep),800029CC,None
Ash of War: Stamp (Upward Cut),80002968,None
Ash of War: Storm Assault,80002FA8,None
Ash of War: Storm Blade,80005208,None
Ash of War: Storm Stomp,8000C418,None
Ash of War: Storm Wall,80007788,None
Ash of War: Stormcaller,8000300C,None
Ash of War: Swift Slash,80064190,None
Ash of War: Sword Dance,80003070,None
Ash of War: The Poison Flower Blooms Twice,8007B4A8,None
Ash of War: Thops's Barrier,80007918,None
Ash of War: Through and Through,80009C40,None
Ash of War: Thunderbolt,80005460,None
Ash of War: Troll's Roar,8000FF14,None
Ash of War: Unsheathe,80002C88,None
Ash of War: Vacuum Slice,800055F0,None
Ash of War: Vow of the Indomitable,800111D4,None
Ash of War: Wall of Sparks,80062A20,None
Ash of War: War Cry,8000FE4C,None
Ash of War: Waves of Darkness,8000C670,None
Ash of War: White Shadow's Lure,80014C08,None
Ash of War: Wild Strikes,80002AF8,None
Ash of War: Wing Stance,80064960,None
Ash-of-War Scarab,101CFDE0,None
Asimi's Husk,40002000,None
Asimi,  Silver Chrysalid,40002003,None
Asimi,  Silver Tear,40001FD3,None
Aspects of the Crucible,40001D4C,None
Aspects of the Crucible,40001D56,None
Aspects of the Crucible,40001D60,None
Aspects of the Crucible: Bloom,401E9E84,None
Aspects of the Crucible: Thorns,401E9E7A,None
Assassin's Approach,4000196E,None
Assassin's Cerulean Dagger,200013C4,None
Assassin's Crimson Dagger,200013BA,None
Assassin's Prayerbook,4000229B,None
Astrologer Gloves,10099DB8,None
Astrologer Hood,10099CF0,None
Astrologer Robe (Altered),1009A13C,None
Astrologer Robe,10099D54,None
Astrologer Trousers,10099E1C,None
Astrologer's Staff,01F98610,Smithing
Avionette Soldier Ashes +1,400372D1,None
Avionette Soldier Ashes +10,400372DA,None
Avionette Soldier Ashes +2,400372D2,None
Avionette Soldier Ashes +3,400372D3,None
Avionette Soldier Ashes +4,400372D4,None
Avionette Soldier Ashes +5,400372D5,None
Avionette Soldier Ashes +6,400372D6,None
Avionette Soldier Ashes +7,400372D7,None
Avionette Soldier Ashes +8,400372D8,None
Avionette Soldier Ashes +9,400372D9,None
Avionette Soldier Ashes,400372D0,None
Axe of Godfrey,015FB710,Somber
Axe of Godrick,00E57E00,Somber
Axe Talisman,20000852,None
Azula Beastman Ashes +1,40038271,None
Azula Beastman Ashes +10,4003827A,None
Azula Beastman Ashes +2,40038272,None
Azula Beastman Ashes +3,40038273,None
Azula Beastman Ashes +4,40038274,None
Azula Beastman Ashes +5,40038275,None
Azula Beastman Ashes +6,40038276,None
Azula Beastman Ashes +7,40038277,None
Azula Beastman Ashes +8,40038278,None
Azula Beastman Ashes +9,40038279,None
Azula Beastman Ashes,40038270,None
Azur's Glintstone Crown,1008DD88,None
Azur's Glintstone Robe,1008DDEC,None
Azur's Glintstone Staff,01FB0CB0,Somber
Azur's Manchettes,1008DE50,None
Backhand Blade,03D83120,Smithing
Baldachin's Blessing,40000D20,None
Ballista Bolt,0328B740,None
Bandit Boots,100E31FC,None
Bandit Garb,100E351C,None
Bandit Manchettes,100E3198,None
Bandit Mask,101560A8,None
Bandit's Curved Sword,006B6C00,Smithing
Banished Knight Armor (Altered),1003118C,None
Banished Knight Armor,10030DA4,None
Banished Knight Engvall +1,40031511,None
Banished Knight Engvall +10,4003151A,None
Banished Knight Engvall +2,40031512,None
Banished Knight Engvall +3,40031513,None
Banished Knight Engvall +4,40031514,None
Banished Knight Engvall +5,40031515,None
Banished Knight Engvall +6,40031516,None
Banished Knight Engvall +7,40031517,None
Banished Knight Engvall +8,40031518,None
Banished Knight Engvall +9,40031519,None
Banished Knight Engvall,40031510,None
Banished Knight Gauntlets,10030E08,None
Banished Knight Greaves,10030E6C,None
Banished Knight Helm (Altered),10031128,None
Banished Knight Helm,10030D40,None
Banished Knight Oleg +1,40031129,None
Banished Knight Oleg +10,40031132,None
Banished Knight Oleg +2,4003112A,None
Banished Knight Oleg +3,4003112B,None
Banished Knight Oleg +4,4003112C,None
Banished Knight Oleg +5,4003112D,None
Banished Knight Oleg +6,4003112E,None
Banished Knight Oleg +7,4003112F,None
Banished Knight Oleg +8,40031130,None
Banished Knight Oleg +9,40031131,None
Banished Knight Oleg,40031128,None
Banished Knight's Greatsword,002EFF40,Smithing
Banished Knight's Halberd,01131DB0,Smithing
Banished Knight's Shield,01D97AF0,Smithing
Barbed Staff-Spear,010B5580,Somber
Barrier of Gold,400018BA,None
Bastard Sword,002DC6C0,Smithing
Bastard's Stars,00C6D270,Somber
Battle Axe,00D59F80,Smithing
Battle Hammer,00B76920,Smithing
Battlefield Priest's Cookbook [1],401EA8F2,None
Battlefield Priest's Cookbook [2],401EA8F4,None
Battlefield Priest's Cookbook [3],401EA8FB,None
Battlefield Priest's Cookbook [4],401EA8FF,None
Battlemage Hugues +1,40035F49,None
Battlemage Hugues +10,40035F52,None
Battlemage Hugues +2,40035F4A,None
Battlemage Hugues +3,40035F4B,None
Battlemage Hugues +4,40035F4C,None
Battlemage Hugues +5,40035F4D,None
Battlemage Hugues +6,40035F4E,None
Battlemage Hugues +7,40035F4F,None
Battlemage Hugues +8,40035F50,None
Battlemage Hugues +9,40035F51,None
Battlemage Hugues,40035F48,None
Battlemage Legwraps,100F436C,None
Battlemage Manchettes,100F4308,None
Battlemage Robe,100F42A4,None
Bayle's Flame Lightning,401E9FE2,None
Bayle's Tyranny,401E9FD8,None
Beast Blood,40003AB6,None
Beast Champion Armor (Altered),100B00CC,None
Beast Champion Armor,100AFCE4,None
Beast Champion Gauntlets,100AFD48,None
Beast Champion Greaves,100AFDAC,None
Beast Champion Helm,100AFC80,None
Beast Claw Weapon,04153A20,None
Beast Claw Incantation,40001AA4,None
Beast Crest Heater Shield,01DD4B80,Smithing
Beast Eye,40002313,None
Beast Horn,401EBF18,None
Beast Liver,40003AA2,None
Beast-Repellent Torch,016F2060,Smithing
Beastclaw Greathammer,00B964F0,Somber
Beastlure Pot,40000187,None
Beastman's Cleaver,007B4A80,Smithing
Beastman's Curved Sword,006AF6D0,Smithing
Beastman's Jar-Shield,01CAADE0,Smithing
Beloved Stardust,20001FFE,None
Bernahl's Bell Bearing,400022D4,None
Bestial Constitution,40001AC2,None
Bestial Sling,40001A90,None
Bestial Vitality,40001AB8,None
Bewitching Branch,40000D16,None
Bigmouth Imp Ashes,4021B8D0,None
Black Blade,40001D6A,None
Black Bow,0272ADB0,Somber
Black Dumpling,101ED2A0,None
Black Flame Blade,4000186A,None
Black Flame Ritual,40001860,None
Black Flame's Protection,40001874,None
Black Flame,40001842,None
Black Hood,10155CC0,None
Black Knife Armor (Altered),1002C36C,None
Black Knife Armor,1002BF84,None
Black Knife Gauntlets,1002BFE8,None
Black Knife Greaves,1002C04C,None
Black Knife Hood,1002BF20,None
Black Knife Tiche +1,40030D41,None
Black Knife Tiche +10,40030D4A,None
Black Knife Tiche +2,40030D42,None
Black Knife Tiche +3,40030D43,None
Black Knife Tiche +4,40030D44,None
Black Knife Tiche +5,40030D45,None
Black Knife Tiche +6,40030D46,None
Black Knife Tiche +7,40030D47,None
Black Knife Tiche +8,40030D48,None
Black Knife Tiche +9,40030D49,None
Black Knife Tiche,40030D40,None
Black Knife,000F6950,Somber
Black Knifeprint,40001FEC,None
Black Knight Armor,104E9594,None
Black Knight Captain Huw,4021B4E8,None
Black Knight Commander Andreas,4021B100,None
Black Knight Gauntlets,104E95F8,None
Black Knight Greaves,104E965C,None
Black Knight Helm,104E9530,None
Black Leather Shield,01DE35E0,Smithing
Black Pyrefly,401ED2A6,None
Black Steel Greathammer,00BF0A40,Smithing
Black Steel Greatshield,01EFE920,Smithing
Black Steel Twinblade,00A05EB0,Smithing
Black Syrup,401EA3D3,None
Black Whetblade,4000230E,None
Black Wolf Mask,10029810,None
Black-Key Bolt,0319EA30,None
Blackflame Monk Amon +1,40037AA1,None
Blackflame Monk Amon +10,40037AAA,None
Blackflame Monk Amon +2,40037AA2,None
Blackflame Monk Amon +3,40037AA3,None
Blackflame Monk Amon +4,40037AA4,None
Blackflame Monk Amon +5,40037AA5,None
Blackflame Monk Amon +6,40037AA6,None
Blackflame Monk Amon +7,40037AA7,None
Blackflame Monk Amon +8,40037AA8,None
Blackflame Monk Amon +9,40037AA9,None
Blackflame Monk Amon,40037AA0,None
Blackflame Monk Armor,10055B7C,None
Blackflame Monk Gauntlets,10055BE0,None
Blackflame Monk Greaves,10055C44,None
Blackflame Monk Hood,10055B18,None
Blackguard's Bell Bearing,400022EE,None
Blackguard's Iron Mask,100D9878,None
Blade of Calling,0011B340,Somber
Blade of Mercy,20002026,None
Blades of Stone,401E96DC,None
Blaidd's Armor (Altered),10029C5C,None
Blaidd's Armor,10029874,None
Blaidd's Gauntlets,100298D8,None
Blaidd's Greaves,1002993C,None
Blasphemous Blade,002FE9A0,Somber
Blasphemous Claw,40000820,None
Blessed Blue Dew Talisman,20001F40,None
Blessed Bone Shard,401ED2BF,None
Blessed Dew Talisman,2000139C,None
Blessing of Marika,401E8804,None
Blessing of the Erdtree,4000191F,None
Blessing's Boon,4000191E,None
Blood Grease,400005A0,None
Blood-Tainted Excrement,4000515F,None
Bloodboil Aromatic,40000DDE,None
Bloodbone Arrow (Fletched),02FF8460,None
Bloodbone Arrow,02FFAB70,None
Bloodbone Bolt,031BBEF0,None
Bloodboon,400018A6,None
Bloodfiend Hexer's Ashes,402195A8,None
Bloodfiend's Arm,00BF3150,Smithing
Bloodfiend's Fork,00FC6160,Smithing
Bloodfiend's Sacred Spear,00FC8870,Somber
Bloodflame Blade,400018B0,None
Bloodflame Talons,4000189C,None
Bloodhound Claws,014FFFA0,Smithing
Bloodhound Knight Armor (Altered),100C123C,None
Bloodhound Knight Armor,100C0E54,None
Bloodhound Knight Floh +1,4003A599,None
Bloodhound Knight Floh +10,4003A5A2,None
Bloodhound Knight Floh +2,4003A59A,None
Bloodhound Knight Floh +3,4003A59B,None
Bloodhound Knight Floh +4,4003A59C,None
Bloodhound Knight Floh +5,4003A59D,None
Bloodhound Knight Floh +6,4003A59E,None
Bloodhound Knight Floh +7,4003A59F,None
Bloodhound Knight Floh +8,4003A5A0,None
Bloodhound Knight Floh +9,4003A5A1,None
Bloodhound Knight Floh,4003A598,None
Bloodhound Knight Gauntlets,100C0EB8,None
Bloodhound Knight Greaves,100C0F1C,None
Bloodhound Knight Helm,100C0DF0,None
Bloodhound's Fang,007A8730,Somber
Bloodrose,400050F3,None
Bloodsoaked Manchettes,100EB280,None
Bloodsoaked Mask,100EB5A0,None
Bloodsoaked Tabard,101C8914,None
Bloodstained Dagger,116520,Smithing
Bloodsucking Cracked Tear,401EAFAA,None
Bloody Finger,40000066,None
Bloody Finger,400000AC,None
Bloody Helice,005B8D80,Somber
Blue Cipher Ring,40000069,None
Blue Cipher Ring,400000AF,None
Blue Cloth Cowl,100A3930,None
Blue Cloth Vest,100A3994,None
Blue Crest Heater Shield,01DD99A0,Smithing
Blue Dancer Charm,2000083E,None
Blue Festive Garb,100C3D34,None
Blue Festive Hood,100C3CD0,None
Blue Silver Bracelets,1003AA48,None
Blue Silver Mail Armor (Altered),1003ADCC,None
Blue Silver Mail Armor,1003A9E4,None
Blue Silver Mail Hood,1003A980,None
Blue Silver Mail Skirt,1003AAAC,None
Blue-Feathered Branchsword,20000FF0,None
Blue-Gold Kite Shield,01DA8C60,Smithing
Blue-White Wooden Shield,01CB4A20,Smithing
Boiled Crab,40000334,None
Boiled Prawn,4000033E,None
Bolt of Gransax,00F58390,Somber
Bolt,3197500,None
Boltdrake Talisman +1,20000FBF,None
Boltdrake Talisman +2,20000FC0,None
Boltdrake Talisman +3,20001BC6,None
Boltdrake Talisman,20000FBE,None
Bondstone,401E9038,None
Bone Arrow (Fletched),02FB65B0,None
Bone Arrow,02FC9E30,None
Bone Ballista Bolt,03292C70,None
Bone Bolt,031AD490,None
Bone Bow,0269FB20,Smithing
Bone Dart,400006AE,None
Bone Great Arrow (Fletched),030AF610,None
Bone Great Arrow,030B1D20,None
Bone Peddler's Bell Bearing,400022F1,None
Bonny Butchering Knife,00ECA9F0,Somber
Borealis's Mist,40001B6D,None
Braided Arm Wraps,104D5D78,None
Braided Cord Robe,104D5D14,None
Brass Shield,01DB0190,Smithing
Briar Armor (Altered),1003389C,None
Briar Armor,100334B4,None
Briar Gauntlets,10033518,None
Briar Greatshield,01E90B50,Smithing
Briar Greaves,1003357C,None
Briar Helm,10033450,None
Briars of Punishment,4000132E,None
Briars of Sin,40001324,None
Brick Hammer,00BA0130,Smithing
Broadsword,001ED2A0,Smithing
Broken Rune,401E9007,None
Buckler,01C9C380,Smithing
Budding Cave Moss,40005169,None
Budding Horn,40003ACA,None
Bull-Goat Armor,10022344,None
Bull-Goat Gauntlets,100223A8,None
Bull-Goat Greaves,1002240C,None
Bull-Goat Helm,100222E0,None
Bull-Goat's Talisman,200004BA,None
Burial Crow's Letter,40001FDC,None
Burial Crow's Letter,40001FF5,None
Burn, O Flame!,400017E8,None
Burred Bolt,031A1140,None
Butchering Knife,00E6B680,Smithing
Caestus,01406F40,Smithing
Call of Tibia,401E90CE,None
Candletree Wooden Shield,01DCD650,Smithing
Cane Sword,0021B8D0,Smithing
Cannon of Haima,40000FF0,None
Carian Filigreed Crest,20001784,None
Carian Glintblade Staff,01FA2250,Smithing
Carian Glintstone Staff,01FABE90,Smithing
Carian Greatsword,4000114E,None
Carian Inverted Statue,40001FAF,None
Carian Knight Armor (Altered),100EF86C,None
Carian Knight Armor,100EF484,None
Carian Knight Gauntlets,100EF4E8,None
Carian Knight Greaves,100EF54C,None
Carian Knight Helm,100EF420,None
Carian Knight's Shield,01DBEBF0,Smithing
Carian Knight's Sword,002143A0,Somber
Carian Phalanx,400010CD,None
Carian Piercer,40001162,None
Carian Regal Scepter,01F8E9D0,Somber
Carian Retaliation,40001220,None
Carian Slicer,40001158,None
Carian Sorcery Sword,00269AD0,Smithing
Carian Thrusting Shield,03B9D3B0,Smithing
Castle Cross Message,401EA3DB,None
Catch Flame,40001770,None
Caterpillar Mask,104D5CB0,None
Cave Moss,40005168,None
Celebrant's Cleaver,00D689E0,Smithing
Celebrant's Rib-Rake,00F50E60,Smithing
Celebrant's Sickle,00102CA0,Smithing
Celebrant's Skull,00B916D0,Smithing
Celestial Dew,40000852,None
Cerulean Amber Medallion +1,200003F3,None
Cerulean Amber Medallion +2,200003F4,None
Cerulean Amber Medallion +3,20001B62,None
Cerulean Amber Medallion,200003F2,None
Cerulean Crystal Tear,40002AFC,None
Cerulean Crystal Tear,40002AFD,None
Cerulean Hidden Tear,40002B11,None
Cerulean Seed Talisman +1,20001BEE,None
Cerulean Seed Talisman,20001392,None
Cerulean Tear Scarab,101D4C00,None
Cerulean-Sapping Cracked Tear,401EAF96,None
Chain Armor,1010C944,None
Chain Coif,1010C8E0,None
Chain Gauntlets,1010C9A8,None
Chain Leggings,1010CA0C,None
Chain-Draped Tabard,101BECD4,None
Chainlink Flail,00C6F980,Smithing
Champion Bracers,100B2458,None
Champion Gaiters,100B24BC,None
Champion Headband,100B2390,None
Champion Pauldron,100B23F4,None
Champion's Song Painting,4000200A,None
Charming Branch,401E9196,None
Cherishing Fingers,401EA17C,None
Chilling Perfume Bottle,03AA9170,Smithing
Chrysalids' Memento,40001FEB,None
Cinquedea,0010EFF0,Somber
Cipher Pata,01426B10,Somber
Circlet of Light,105071C0,None
Clarifying Boluses,400003C0,None
Clarifying Cured Meat,4000046A,None
Clarifying Horn Charm +1,2000049D,None
Clarifying Horn Charm +2,20001B94,None
Clarifying Horn Charm,2000049C,None
Clarifying White Cured Meat,40000532,None
Claw Talisman,20000884,None
Clawmark Seal,020768C0,Smithing
Claws of Night,015752A0,Somber
Clayman Ashes +1,40036331,None
Clayman Ashes +10,4003633A,None
Clayman Ashes +2,40036332,None
Clayman Ashes +3,40036333,None
Clayman Ashes +4,40036334,None
Clayman Ashes +5,40036335,None
Clayman Ashes +6,40036336,None
Clayman Ashes +7,40036337,None
Clayman Ashes +8,40036338,None
Clayman Ashes +9,40036339,None
Clayman Ashes,40036330,None
Clayman's Harpoon,00F49930,Smithing
Claymore,003085E0,Smithing
Cleanrot Armor (Altered),1005346C,None
Cleanrot Armor,10053084,None
Cleanrot Gauntlets,100530E8,None
Cleanrot Greaves,1005314C,None
Cleanrot Helm (Altered),10053408,None
Cleanrot Helm,10053020,None
Cleanrot Knight Finlay +1,40036719,None
Cleanrot Knight Finlay +10,40036722,None
Cleanrot Knight Finlay +2,4003671A,None
Cleanrot Knight Finlay +3,4003671B,None
Cleanrot Knight Finlay +4,4003671C,None
Cleanrot Knight Finlay +5,4003671D,None
Cleanrot Knight Finlay +6,4003671E,None
Cleanrot Knight Finlay +7,4003671F,None
Cleanrot Knight Finlay +8,40036720,None
Cleanrot Knight Finlay +9,40036721,None
Cleanrot Knight Finlay,40036718,None
Cleanrot Knight's Sword,004C7250,Smithing
Cleanrot Spear,00F4C040,Somber
Clinging Bone,01421CF0,Somber
Cloth Garb,10027164,None
Cloth Trousers,1002722C,None
Club,00A7FFD0,Smithing
Coded Sword,203230,Somber
Coil Shield,01CCD0C0,Somber
Coldbone Arrow (Fletched),02FFD280,None
Coldbone Arrow,02FFF990,None
Coldbone Bolt,031BE600,None
Collapsing Stars,40001271,None
Comet Azur,40001068,None
Comet,40000FB5,None
Commander's Standard,011344C0,Somber
Common Soldier Cloth Armor,104FF524,None
Common Soldier Gauntlets,104FF588,None
Common Soldier Greaves,104FF5EC,None
Common Soldier Helm,104FF4C0,None
Commoner's Garb (Altered),100C605C,None
Commoner's Garb,100C5C74,None
Commoner's Headband (Altered),100C5FF8,None
Commoner's Headband,100C5C10,None
Commoner's Shoes,100C5D3C,None
Commoner's Simple Garb (Altered),100C6444,None
Commoner's Simple Garb,100C63E0,None
Companion Jar,200008A2,None
Composite Bow,02631D50,Smithing
Concealing Veil,2000177A,None
Confessor Armor (Altered),100D71CC,None
Confessor Armor,100D6DE4,None
Confessor Boots,100D6EAC,None
Confessor Gloves,100D6E48,None
Confessor Hood (Altered),100D7168,None
Confessor Hood,100D6D80,None
Congealed Putrescence,401ED2BA,None
Consort's Mask,100EA600,None
Consort's Robe,100EA664,None
Consort's Trousers,100EA72C,None
Conspectus Scroll,40002292,None
Corhyn's Bell Bearing,400022EF,None
Corhyn's Robe,10097644,None
Crab Eggs,40003B1A,None
Cracked Crystal,4000512C,None
Cracked Pot,4000251C,None
Crafting Kit,40002134,None
Cranial Vessel Candlestand,00B9B310,Somber
Crepus's Black-Key Crossbow,0291CE70,Somber
Crepus's Vial,20001770,None
Crescent Moon Axe,00E556F0,Smithing
Crimson Amber Medallion +1,200003E9,None
Crimson Amber Medallion +2,200003EA,None
Crimson Amber Medallion +3,20001B58,None
Crimson Amber Medallion,200003E8,None
Crimson Bubbletear,40002AFF,None
